127964415	206869046149390338	-1
155805879	205886655515725824	1
278173399	205109221036007424	-1
100883065	206488618506784770	0
242598008	205060902758789120	-1
194410962	204328350737633280	1
509552253	204077443160616960	0
319173200	206921789710934018	0
350264081	207061963325440001	1
281451596	205553867532943360	-1
580127659	205082713215082496	0
458838905	205515934297890817	-1
222907377	203944223718916099	1
303468838	202577702929174532	-1
137647333	206560810800132096	-1
347631542	205495638186663936	1
589922229	206979893278412800	0
156528345	205109535503953921	0
531583771	204251708413575169	1
226789056	202550892828958722	-1
388724904	204917361164292096	0
246603018	206788821776465924	-1
21111943	202515023099199488	-1
269427482	204185668878991361	-1
275832503	205758889269010434	0
181858991	204892073554477056	-1
566696535	203950183841677314	-1
84207170	204926219198799872	0
185824981	205089772195155969	0
419191918	204068542788808705	0
220981845	206829997204320256	-1
381484061	202571432109150209	-1
292626179	206516267509747712	0
91006356	204106220318113792	-1
378478561	205105194650976260	1
243696258	204256100504182785	0
221856284	206502367598874625	-1
146781702	204066290418200577	-1
115911365	206000777511174144	1
265480749	205052283199827968	1
304347395	202723077187055617	0
381611707	204332100638359552	-1
386923905	206908493813391362	-1
57116336	206780823603650562	-1
561684253	205083845844934656	1
406391487	204091724799279106	-1
383519940	205099251204755458	-1
442341171	205857975703842817	1
232658181	205523997205606400	0
67746515	202597222976729089	1
